economic_area,state,abbr,workforce_share,workforce_growth,industry_feasibility,clean_electric_capacity_growth,industrial_electricity_price,datacenter_mw,semiconductor_manufacturing,battery_manufacturing,solar_manufacturing,ev_manufacturing
"Phoenix, AZ",Arizona,AZ,NA,NA,NA,9103.6,NA,1852.7718,200086,0,1135.2,0
"Pittsburgh, PA",Pennsylvania,PA,NA,NA,NA,1040.3000000000002,NA,112.7676,15,0,44.88,0
"Plainview, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,726,0
"Plattsburgh, NY",New York,NY,0.22,0.045,0.58,2370.4999999999995,0.65,0,0,0,30.888,0
"Pocatello, ID",Idaho,ID,NA,NA,NA,959,NA,1.98,0,0,0,0
"Portland, ME",Maine,ME,NA,NA,NA,869.8,NA,3.3,0,0,146.65200000000002,0
"Portland, OR",Oregon,OR,NA,NA,NA,1213.5,NA,655.96542,37507,0,36.498000000000005,0
"Pottsville, PA",Pennsylvania,PA,NA,NA,NA,1040.3000000000002,NA,0,300,0,0,0
"Price, UT",Utah,UT,NA,NA,NA,1184.4999999999998,NA,0,0,0,285.45,0
"Pueblo, CO",Colorado,CO,NA,NA,NA,2494.5,NA,0,0,0,734.118,0
"Racine, WI",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,0,0,0,11.946,0
"Raleigh, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,78.1506,172.5,0,0.33,0
"Rapid City, SD",South Dakota,SD,NA,NA,NA,NA,NA,0,0,0,137.28,0
"Redding, CA",Oregon,OR,NA,NA,NA,1213.5,NA,0,0,0,45.342000000000006,0
"Reno, NV",California,CA,0.25,0.05,0.62,17555,0.7,0,0,0,1.32,0
"Reno, NV",Nevada,NV,NA,NA,NA,3600.6,NA,125.56500000000001,0,0,362.208,0
"Richfield, UT",Utah,UT,NA,NA,NA,1184.4999999999998,NA,0,0,0,0.99,0
"Richmond, IN",Indiana,IN,NA,NA,NA,4683.200000000001,NA,1.584,0,0,409.266,0
"Richmond, KY",Kentucky,KY,NA,NA,NA,1058.3,NA,0,0,0,33,0
"Richmond, VA",Virginia,VA,NA,NA,NA,2331.8,NA,1020.1818000000001,0,0,236.28,0
"Rochester, MN",Minnesota,MN,NA,NA,NA,866.7000000000003,NA,0,0,0,7.26,0
"Rochester, NY",New York,NY,0.22,0.045,0.58,2370.4999999999995,0.65,11.88,459.65,0,247.17000000000002,0
"Rock Hill, SC",South Carolina,SC,NA,NA,NA,668.5999999999999,NA,2.97,0,0,0,0
"Rock Springs, WY",Wyoming,WY,NA,NA,NA,NA,NA,739.2,0,0,0,0
"Rockford, IL",Illinois,IL,NA,NA,NA,4377.300000000001,NA,0,0,0,7.194000000000001,0
"Rockford, IL",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,0,0,0,78.342,0
"Rockingham, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,0,0,0,56.562000000000005,0
"Rocky Mount, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,0,0,0,365.77200000000005,0
"Rome, GA",Georgia,GA,NA,NA,NA,4089.5,NA,0,0,0,8.58,0
"Roswell, NM",New Mexico,NM,NA,NA,NA,3112.3999999999996,NA,0,0,0,33,0
"Ruston, LA",Louisiana,LA,NA,NA,NA,1118.3999999999999,NA,0,0,0,196.74599999999998,0
"Sacramento, CA",California,CA,0.25,0.05,0.62,17555,0.7,128.10600000000002,1900,0,43.956,0
"Saginaw, MI",Michigan,MI,NA,NA,NA,1914.3000000000002,NA,0,1125,0,133.32,0
"Saint George, UT",Nevada,NV,NA,NA,NA,3600.6,NA,0,0,0,122.10000000000001,0
"Saint George, UT",Utah,UT,NA,NA,NA,1184.4999999999998,NA,0.792,0,0,136.62,0
"Saint Joseph, MO",Kansas,KS,NA,NA,NA,1664.9000000000005,NA,0,0,0,0.8580000000000001,0
"Saint Louis, MO",Illinois,IL,NA,NA,NA,4377.300000000001,NA,0,0,0,17.82,0
"Saint Louis, MO",Missouri,MO,NA,NA,NA,1279,NA,22.802999999999937,800,0,0,0
"Salina, KS",Kansas,KS,NA,NA,NA,1664.9000000000005,NA,0,0,0,139.92000000000002,0
"Salisbury, MD",Delaware,DE,NA,NA,NA,18.700000000000003,NA,0,0,0,2.97,0
"Salisbury, MD",Maryland,MD,NA,NA,NA,571.5,NA,0,0,0,8.448,0
"Salisbury, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,39.6,0,0,3.3000000000000003,0
"Salt Lake City, UT",Utah,UT,NA,NA,NA,1184.4999999999998,NA,298.32,11000,0,125.334,0
"San Angelo, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,325.24800000000005,0
"San Antonio, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,325.59450000000004,0,0,0,0
"San Diego, CA",California,CA,0.25,0.05,0.62,17555,0.7,17.3316,0,0,5.676,0
"San Francisco, CA",California,CA,0.25,0.05,0.62,17555,0.7,667.9133999999999,4471,0,198.59400000000002,0
"Sanford, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,0,5000,0,8.25,0
"Santa Fe, NM",New Mexico,NM,NA,NA,NA,3112.3999999999996,NA,0,0,0,3.3000000000000003,0
"Sarasota, FL",Florida,FL,NA,NA,NA,6416.9,NA,0,0,0,393.36,0
"Savannah, GA",Georgia,GA,NA,NA,NA,4089.5,NA,0,0,0,7.854000000000001,0
"Seattle, WA",Washington,WA,NA,NA,NA,NA,NA,93.10752,0,0,0,0
"Sedalia, MO",Kansas,KS,NA,NA,NA,1664.9000000000005,NA,0,0,0,3.2340000000000004,0
"Sheboygan, WI",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,0,0,0,101.112,0
"Shelby, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,116.16,0,0,1.32,0
"Shreveport, LA",Louisiana,LA,NA,NA,NA,1118.3999999999999,NA,0.66,0,0,47.85,0
"Sioux City, IA",Iowa,IA,NA,NA,NA,1283.6000000000004,NA,0.44880000000000003,0,0,2.64,0
"Sioux City, IA",South Dakota,SD,NA,NA,NA,NA,NA,3.96,0,0,0,0
"Sioux Falls, SD",South Dakota,SD,NA,NA,NA,NA,NA,1.6499999999999995,0,0,0,0
"Snyder, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,431.112,0
"Socorro, NM",New Mexico,NM,NA,NA,NA,3112.3999999999996,NA,0,0,0,135.3,0
"South Bend, IN",Indiana,IN,NA,NA,NA,4683.200000000001,NA,2.904,0,0,370.392,0
"Southaven, MS",Mississippi,MS,NA,NA,NA,1491.2,NA,0,0,0,80.982,0
"Spokane, WA",Washington,WA,NA,NA,NA,NA,NA,1.8117,0,0,0,0
"Springfield, IL",Illinois,IL,NA,NA,NA,4377.300000000001,NA,0,0,0,685.146,0
"Springfield, MA",Massachusetts,MA,NA,NA,NA,307.4000000000001,NA,0,0,0,43.89,0
"Springfield, MO",Missouri,MO,NA,NA,NA,1279,NA,3.3000000000000003,0,0,0,0
"State College, PA",Pennsylvania,PA,NA,NA,NA,1040.3000000000002,NA,0.66,0,0,26.400000000000002,0
"Sterling, CO",Colorado,CO,NA,NA,NA,2494.5,NA,0,0,0,18.612000000000002,0
"Sumter, SC",South Carolina,SC,NA,NA,NA,668.5999999999999,NA,0,0,0,9.24,0
"Syracuse, NY",Idaho,ID,NA,NA,NA,959,NA,0,48000,0,0,0
"Syracuse, NY",New York,NY,0.22,0.045,0.58,2370.4999999999995,0.65,0,101300,0,271.326,0
"Tallahassee, FL",Florida,FL,NA,NA,NA,6416.9,NA,0.33,0,0,837.21,0
"Tallahassee, FL",Georgia,GA,NA,NA,NA,4089.5,NA,0,0,0,180.18,0
"Tampa, FL",Florida,FL,NA,NA,NA,6416.9,NA,10.6986,0,0,370.59000000000003,0
"Texarkana, TX",Oklahoma,OK,NA,NA,NA,2869.6000000000004,NA,0.528,0,0,3.3000000000000003,0
"Toledo, OH",Ohio,OH,NA,NA,NA,3755.2,NA,1.452,0,0,374.286,0
"Topeka, KS",Kansas,KS,NA,NA,NA,1664.9000000000005,NA,0,1920,0,2.9040000000000004,0
"Traverse City, MI",Michigan,MI,NA,NA,NA,1914.3000000000002,NA,0,0,0,2.64,0
"Trinidad, CO",Colorado,CO,NA,NA,NA,2494.5,NA,0,0,0,93.39,0
"Trinidad, CO",New Mexico,NM,NA,NA,NA,3112.3999999999996,NA,0,0,0,4.95,0
"Tucson, AZ",Arizona,AZ,NA,NA,NA,9103.6,NA,3.63,0,0,178.266,0
"Tulsa, OK",Oklahoma,OK,NA,NA,NA,2869.6000000000004,NA,1.089,0,0,0,0
"Tupelo, MS",Mississippi,MS,NA,NA,NA,1491.2,NA,0.42900000000000005,0,0,231,0
"Twin Falls, ID",Idaho,ID,NA,NA,NA,959,NA,0,0,0,145.2,0
"Valdosta, GA",Georgia,GA,NA,NA,NA,4089.5,NA,0,0,0,206.118,0
"Van Horn, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,22.968000000000004,0
"Vernon, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,0,0
"Victoria, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,1416.8880000000001,0
"Virginia Beach, VA",North Carolina,NC,NA,NA,NA,1328.5,NA,0,0,0,66,0
"Virginia Beach, VA",Virginia,VA,NA,NA,NA,2331.8,NA,23.76,0,0,539.022,0
"Waco, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,330.528,326,0,1349.766,0
"Wahpeton, ND",North Dakota,ND,NA,NA,NA,NA,NA,184.8,0,0,0,0
"Walla Walla, WA",Washington,WA,NA,NA,NA,NA,NA,0.066,0,0,0,0
"Waterloo, IA",Iowa,IA,NA,NA,NA,1283.6000000000004,NA,0.528,0,0,1.98,0
"Watertown, NY",New York,NY,0.22,0.045,0.58,2370.4999999999995,0.65,0,315,0,92.796,0
"Watertown, SD",Minnesota,MN,NA,NA,NA,866.7000000000003,NA,0,0,0,0.66,0
"Watseka, IL",Indiana,IN,NA,NA,NA,4683.200000000001,NA,0,0,0,462,0
"Wausau, WI",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,0.1188,0,0,99,0
"Waynesboro, GA",Georgia,GA,NA,NA,NA,4089.5,NA,0,0,0,297,0
"Wenatchee, WA",Washington,WA,NA,NA,NA,NA,NA,460.2774,0,0,9.9,0
"West Plains, MO",Missouri,MO,NA,NA,NA,1279,NA,0,0,0,5.28,0
"Wichita Falls, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,102.96000000000001,0,0,0,0
"Wichita, KS",Kansas,KS,NA,NA,NA,1664.9000000000005,NA,0,1800,0,0,0
"Williamsport, PA",Pennsylvania,PA,NA,NA,NA,1040.3000000000002,NA,0,0,0,72.534,0
"Wilmington, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,0,0,0,11.22,0
"Winchester, VA",Virginia,VA,NA,NA,NA,2331.8,NA,21.78,0,0,138.33599999999998,0
"Winchester, VA",West Virginia,WV,NA,NA,NA,146.20000000000005,NA,0.99,0,0,80.388,0
"Winona, MN",Minnesota,MN,NA,NA,NA,866.7000000000003,NA,0,0,0,71.808,0
"Winston-Salem, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,2.31,0,0,33,0
"Winterset, IA",Iowa,IA,NA,NA,NA,1283.6000000000004,NA,0,0,0,16.5,0
"Wytheville, VA",Virginia,VA,NA,NA,NA,2331.8,NA,0,0,0,62.7,0
"Yakima, WA",Washington,WA,NA,NA,NA,NA,NA,0.066,0,0,52.800000000000004,0
"Yankton, SD",South Dakota,SD,NA,NA,NA,NA,NA,0.8250000000000001,0,0,0,0
"Yuma, AZ",Arizona,AZ,NA,NA,NA,9103.6,NA,0,0,0,494.34000000000003,0
"Yuma, AZ",California,CA,0.25,0.05,0.62,17555,0.7,0,0,0,230.20800000000003,0
"Zanesville, OH",Ohio,OH,NA,NA,NA,3755.2,NA,0,0,0,322.674,0
