"","X","Company","Parent.Company","Location","City","County","Address","Zip","Project.Description","NAICS.Industry.Code","Year","Subsidy.Value","Megadeal.Contribution","Subsidy.Value.Adjusted.For.Megadeal","Program.Name","Awarding.Agency","Type.of.Subsidy","Number.of.Jobs.or.Training.Slots","Wage.Data","Wage.Data.Type","Investment.Data","Value.of.Exempted.Property","Source.of.Data","Notes","Subsidy.Source","CFDA.Program.Number","Loan.Value","State.in.Which.Facility.Is.Located","HQ.State.of.Parent","HQ.Country.of.Parent","Ownership.Structure","Major.Industry.of.Parent","Specific.Industry.of.Parent","Megadeal.Subsidy.Value.in.2023.Dollars","subs_m","Sector","investment_m","Seq..No.","X2022.NAICS.US.Code","X4"
"380",193631,"Netapp","NetApp","Colorado","","Boulder","",NA,NA,NA,2023,288581,"$0","$288,581","Job Growth Incentive Tax Credit","Economic Development Commission","Tax Credit/Rebate",265,"","",NA,0,"https://oedit.colorado.gov/about/oedit-reports#edc","Year is FY. Subsidy value is tax credit issued in this year. Jobs are jobs created.","state",NA,NA,NA,"California","USA","publicly traded","electrical and electronic equipment","computer peripherals","$0",0.288581,"Electrical Equipment, Appliance, and Component Manufacturing",NA,777,335,NA
"381",203459,"Oshkosh Corp","Oshkosh Corp.","Wisconsin","Oshkosh","Winnebago",NA,NA,"Industrial facility expansion",NA,2021,284280,"$0","$284,280","Oshkosh: Tax Incremental Financing","Oshkosh Department of Community Development","tax increment financing",NA,NA,NA,NA,0,"https://ww2.revenue.wi.gov/VaultPublic/publish/tidar/report.html","Project located in TIF district #24 (South Industrial Redevelopment). Subsidy is a cash grant to cover eligible project costs (may be a low-interest or forgivable loan). Year is year grant made.","local",NA,NA,NA,"Wisconsin","USA","publicly traded","motor vehicles","motor vehicles",NA,0.28428,"Motor Vehicle Manufacturing",NA,807,3361,NA
"382",163650,"Leidos, Inc.","Leidos","Maryland","","Baltimore",NA,NA,"","541715",2021,283151,"$0","$283,151","Research and Development Tax Credit","Department of Business & Economic Development","tax credit/rebate",NA,NA,NA,NA,0,"https://transparency.md.gov/public/single/?appid=2f3c6c3a-ce52-4211-b284-13060307027a&sheet=809d84d9-fa71-4af5-8727-62b9a62ff772&opt=ctxmenu","Year is fiscal year. Subsidy is approved tax credit amount. Jobs are number of promised jobs. Investment is total project cost.","state",NA,NA,NA,"Virginia","USA","publicly traded","information technology","information technology",NA,0.283151,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",NA,1402,518,NA
"383",30120,"Astronics Advanced Electronic Systems Corp.","Astronics","Washington",NA,NA,NA,NA,NA,NA,2022,280699,"$0","$280,699","Aerospace Pre-production Expenditures B&O Tax Credit","Department of Revenue","Tax Credit/Rebate",NA,NA,NA,NA,0,"https://secure.dor.wa.gov/gteunauth/_/#1","Subsidy value is the amount for the year.","state",NA,NA,NA,"New York","USA","publicly traded","electrical and electronic equipment","electronic equipment","$0",0.280699,"Electrical Equipment, Appliance, and Component Manufacturing",NA,777,335,NA
"384",122704,"Green Plains Mount Vernon LLC","Green Plains Inc.","Indiana","Mount Vernon","Posey",NA,NA,"",NA,2023,275000,"$0","$275,000","Economic Development for a Growing Economy","Indiana Economic Development Corporation","tax credit/rebate",24,"","",68800000,0,"https://secure.in.gov/apps/iedc/transparencyportal/searchtaxgrantloancontracts","Year is year of contract. Subsidy amount is contract amount. Jobs are new jobs expected by contract end. Investment is qualified investment by contract end.","state",NA,NA,NA,"Nebraska","USA","publicly traded","utilities and power generation","energy generation",NA,0.275,"Utilities",68.8,173,22,NA
"385",272134,"Toyota Motor North America, Inc.","Toyota","Illinois","","","","","Lexus ES-NX",NA,2021,274463,"$0","$274,463","Illinois Film Tax Credit","Department of Commerce and Economic Opportunity","tax credit/rebate",NA,NA,NA,NA,0,"Direct from agency; not on web","Year is year of tax credit issued for the production company. Subsidy is final tax credit to the production company. Description is Project Name. $274462.86 was transferred to Nalin Gupta","state",NA,NA,NA,"","Japan","publicly traded","motor vehicles","motor vehicles",NA,0.274463,"Motor Vehicle Manufacturing",NA,807,3361,NA
"386",120763,"Goodyear Tire & Rubber","Goodyear Tire & Rubber","Oklahoma","","Comanche",NA,NA,"year of exemption: 3",NA,2023,273761,"$0","$273,761","Ad Valorem Reimbursement Fund","Oklahoma Tax Commission","tax credit/rebate",NA,"","",NA,0,"https://oklahoma.gov/tax/reporting-resources/reports.html?q=annualreports","Year is FY. Subsidy value is value of exemption.","state",NA,NA,NA,"Ohio","USA","publicly traded","automotive parts","automotive parts-tires","$0",0.273761,"Motor Vehicle Parts Manufacturing",NA,818,3363,NA
"387",111739,"Fujifilm Sonosite, Inc.","Fujifilm","Washington",NA,NA,NA,NA,NA,NA,2021,268374,"$0","$268,374","High Technology Sales & Use Tax Deferral","Department of Revenue","tax credit/rebate",NA,NA,NA,NA,0,"https://secure.dor.wa.gov/gteunauth/_/#292","Subsidy value is the amount for the year.","state",NA,NA,NA,"","Japan","publicly traded","electrical and electronic equipment","imaging products",NA,0.268374,"Electrical Equipment, Appliance, and Component Manufacturing",NA,777,335,NA
"388",115099,"GOODYEAR TIRE & RUBBER COMPANY","Goodyear Tire & Rubber","Oklahoma",NA,"Comanche",NA,NA,"year of exemption: 3",NA,2022,265994,"$0","$265,994","Ad Valorem Reimbursement Fund","Oklahoma Tax Commission","tax credit/rebate",NA,NA,NA,NA,0,"https://oklahoma.gov/tax/reporting-resources/reports.html?q=annualreports","Year is FY. Subsidy value is value of exemption.","state",NA,NA,NA,"Ohio","USA","publicly traded","automotive parts","automotive parts-tires",NA,0.265994,"Motor Vehicle Parts Manufacturing",NA,818,3363,NA
"389",263883,"TULSA WINCH INC","Dover Corp.","Oklahoma","","",NA,NA,"",NA,2021,265006,"$0","$265,006","Oklahoma Investment/New Jobs Credit","Oklahoma Tax Commission","tax credit/rebate",NA,NA,NA,NA,0,"https://data.ok.gov/dataset/state-of-oklahoma-tax-credits","Year is FY. Subsidy is credit amount for that year. Year is when the credit was claimed by the company. Subsidy was awarded in 2019.","state",NA,NA,NA,"Illinois","USA","publicly traded","industrial equipment","industrial equipment",NA,0.265006,"Machinery Manufacturing",NA,685,333,NA
"390",120762,"Goodyear Tire & Rubber","Goodyear Tire & Rubber","Oklahoma","","Comanche",NA,NA,"year of exemption: 2",NA,2023,262394,"$0","$262,394","Ad Valorem Reimbursement Fund","Oklahoma Tax Commission","tax credit/rebate",NA,"","",NA,0,"https://oklahoma.gov/tax/reporting-resources/reports.html?q=annualreports","Year is FY. Subsidy value is value of exemption.","state",NA,NA,NA,"Ohio","USA","publicly traded","automotive parts","automotive parts-tires","$0",0.262394,"Motor Vehicle Parts Manufacturing",NA,818,3363,NA
"391",120769,"Goodyear Tire & Rubber","Goodyear Tire & Rubber","Oklahoma","","Comanche",NA,NA,"year of exemption: 4",NA,2024,258664,"$0","$258,664","Ad Valorem Reimbursement Fund","Oklahoma Tax Commission","tax credit/rebate",NA,"","",NA,0,"https://oklahoma.gov/tax/reporting-resources/reports.html?q=annualreports","Year is FY. Subsidy value is value of exemption.","state",NA,NA,NA,"Ohio","USA","publicly traded","automotive parts","automotive parts-tires","$0",0.258664,"Motor Vehicle Parts Manufacturing",NA,818,3363,NA
"392",68670,"Cisco Systems, Inc.","Cisco Systems","Maryland","","",NA,NA,"","334290",2021,258245,"$0","$258,245","Research and Development Tax Credit","Department of Business & Economic Development","tax credit/rebate",NA,NA,NA,NA,0,"https://transparency.md.gov/public/single/?appid=2f3c6c3a-ce52-4211-b284-13060307027a&sheet=809d84d9-fa71-4af5-8727-62b9a62ff772&opt=ctxmenu","Year is fiscal year. Subsidy is approved tax credit amount. Jobs are number of promised jobs. Investment is total project cost.","state",NA,NA,NA,"California","USA","publicly traded","electrical and electronic equipment","electronic equipment",NA,0.258245,"Electrical Equipment, Appliance, and Component Manufacturing",NA,777,335,NA
"393",127397,"HUBBELL MANUFACTURING OKC, INC.","Hubbell","Oklahoma","","",NA,NA,"",NA,2024,256258,"$0","$256,258","Quality Jobs Incentive Payment","Oklahoma Tax Commission","grant",NA,"","",NA,0,"https://oktap.tax.ok.gov/OkTAP/Web/_/","Year is fiscal year. Subsidy value is cash payment during the year.","state",NA,NA,NA,"Connecticut","USA","publicly traded","electrical and electronic equipment","electrical equipment","$0",0.256258,"Electrical Equipment, Appliance, and Component Manufacturing",NA,777,335,NA
"394",120768,"Goodyear Tire & Rubber","Goodyear Tire & Rubber","Oklahoma","","Comanche",NA,NA,"year of exemption: 3",NA,2024,255951,"$0","$255,951","Ad Valorem Reimbursement Fund","Oklahoma Tax Commission","tax credit/rebate",NA,"","",NA,0,"https://oklahoma.gov/tax/reporting-resources/reports.html?q=annualreports","Year is FY. Subsidy value is value of exemption.","state",NA,NA,NA,"Ohio","USA","publicly traded","automotive parts","automotive parts-tires","$0",0.255951,"Motor Vehicle Parts Manufacturing",NA,818,3363,NA
"395",268946,"The Shyft Group","Shyft Group","Maine","",NA,NA,NA,NA,NA,2021,255298,"$0","$255,298","Employment Tax Increment Financing","Department of Economic and Community Development","tax credit/rebate",234,"$10,501,775","Total Gross Earnings",NA,0,"Direct from agency; not on web","Year is report calendar year. Jobs figure is the number of qualified employees in report year. Salary/wage data is based on the number of qualified employees.","state",NA,NA,NA,"Michigan","USA","publicly traded","motor vehicles","motor vehicles",NA,0.255298,"Motor Vehicle Manufacturing",NA,807,3361,NA
"396",134448,"Hubbell Lighting Inc","Hubbell","South Carolina","Greenville","Greenville","",NA,"",NA,2021,250134,"$0","$250,134","Greenville County: Tax Abatements (Greenville City tax reduction)","Greenville County Council","tax abatement",NA,"","",NA,0,"https://www.greenvillesc.gov/Archive.aspx?AMID=45","Year is FY. Subsidy is actual CITY tax abatement in this year.","state",NA,NA,NA,"""Connecticut""","USA","publicly traded","electrical and electronic equipment","electrical equipment","$0",0.250134,"Electrical Equipment, Appliance, and Component Manufacturing",NA,777,335,NA
"397",23522,"Alltel (Western Wireless)","Verizon Communications","Kansas","Manhattan","Riley","",NA,"",NA,2022,250000,"$0","$250,000","Manhattan: Manhattan Economic Development Fund (MEDOFAB)","Manhattan City Commission","grant/loan hybrid program",NA,"","",NA,0,"https://cityofmhk.com/266/Annual-Economic-Development-Reports","Subsidy value is the total value of loans and grants as of FY2021. Subsidy amounts do not reflect any loan repayments by company. See the original source for that information. Jobs are target number of jobs to be created. Investment is capital investment as of FY2021.","local",NA,NA,NA,"""New York""","USA","publicly traded","telecommunications","telecommunications",NA,0.25,"Telecommunications",NA,1388,517,NA
"398",68671,"Cisco Systems, Inc.","Cisco Systems","Maryland","","","",NA,"","334290",2022,250000,"$0","$250,000","Research and Development Tax Credit","Department of Business & Economic Development","tax credit/rebate",NA,NA,NA,NA,0,"https://transparency.md.gov/public/single/?appid=2f3c6c3a-ce52-4211-b284-13060307027a&sheet=809d84d9-fa71-4af5-8727-62b9a62ff772&opt=ctxmenu","Year is fiscal year. Subsidy is approved tax credit amount.","state",NA,NA,NA,"California","USA","publicly traded","electrical and electronic equipment","electronic equipment",NA,0.25,"Electrical Equipment, Appliance, and Component Manufacturing",NA,777,335,NA
"399",121385,"Graco Minnesota, Inc","Graco","Minnesota","Anoka",NA,NA,NA,"",NA,2023,250000,"$0","$250,000","Minnesota Investment Fund","Department of Employment and Economic Development","grant/loan hybrid program",36,"26.96","Average cash wage",42500000,0,"https://mn.gov/deed/business/financing-business/deed-programs/mif/award-map.jsp","Year is contract year. Subsidy value is granted to locality to fund loan to recipient. Jobs are new jobs. Investment is total project cost.","state",NA,NA,NA,"Minnesota","USA","publicly traded","industrial equipment","industrial equipment","$0",0.25,"Machinery Manufacturing",42.5,685,333,NA
"400",174705,"Mack Trucks, Inc.","Volvo","Maryland","","Washington","",NA,"","336120",2022,250000,"$0","$250,000","Research and Development Tax Credit","Department of Business & Economic Development","tax credit/rebate",NA,NA,NA,NA,0,"https://transparency.md.gov/public/single/?appid=2f3c6c3a-ce52-4211-b284-13060307027a&sheet=809d84d9-fa71-4af5-8727-62b9a62ff772&opt=ctxmenu","Year is fiscal year. Subsidy is approved tax credit amount.","state",NA,NA,NA,"","Sweden","publicly traded","motor vehicles","motor vehicles",NA,0.25,"Motor Vehicle Manufacturing",NA,807,3361,NA
"401",195352,"Nhk Seating Of America, Inc.","NHK Spring","Indiana","Frankfort","Clinton","",NA,"",NA,2021,250000,"$0","$250,000","Hoosier Business Investment Tax Credit","Indiana Economic Development Corporation","tax credit/rebate",100,"","",37863527,0,"https://secure.in.gov/apps/iedc/transparencyportal/searchtaxgrantloancontracts","Year is year of contract. Amount is contract amount. Jobs figure is number of new jobs expected by the end of the subsidy contract. Investment is expected qualified amount.","state",NA,NA,NA,"","Japan","publicly traded","automotive parts","automotive parts",NA,0.25,"Motor Vehicle Parts Manufacturing",37.864,818,3363,NA
"402",198268,"Npower Inc.","E.ON","Missouri",NA,"",NA,NA,"Tech Fundamentals",NA,2023,250000,"$0","$250,000","Workforce Training Grant Program","Missouri Department For Economic Development","grant",200,"","",NA,0,"https://ded.mo.gov/media/pdf/workforce-training-grant-program-recipients","Year is calendar year. Subsidy value is amount awarded. Jobs figure is number of trainees.","state",NA,NA,NA,"","Germany","publicly traded","utilities and power generation","utilities",NA,0.25,"Utilities",NA,173,22,NA
"403",134449,"Hubbell Lighting Inc","Hubbell","South Carolina","Greenville","Greenville","",NA,"",NA,2022,249659,"$0","$249,659","Greenville County: Tax Abatements (Greenville City tax reduction)","Greenville County Council","tax abatement",NA,"","",NA,0,"https://www.greenvillesc.gov/Archive.aspx?AMID=45","Year is FY. Subsidy is actual CITY tax abatement in this year.","state",NA,NA,NA,"""Connecticut""","USA","publicly traded","electrical and electronic equipment","electrical equipment","$0",0.249659,"Electrical Equipment, Appliance, and Component Manufacturing",NA,777,335,NA
"404",95302,"Eaton Corporation","Eaton","North Carolina","","",NA,NA,"",NA,2023,249566,"$0","$249,566","Article 3J Tax Credits for Growing Businesses","Department of Revenue","tax credit/rebate",NA,NA,NA,NA,0,"https://www.ncdor.gov/2024-economic-incentives-report","Year is calendar year. Subsidy value is amount of credits taken during the year. See original source for breakdown by tax credit subcategory.","state",NA,NA,NA,"","Ireland","publicly traded","industrial equipment","industrial equipment","$0",0.249566,"Machinery Manufacturing",NA,685,333,NA
"405",256389,"Subaru of America, Inc","Subaru Corporation","Oregon","Gresham","Multnomah","",NA,"",NA,2023,246505,"$0","$246,505","Enterprise Zone Program","Business Oregon","property tax abatement",0,"",NA,23839000,13393726,"https://data.oregon.gov/Revenue-Expense/Part-A-Enterprise-Zone-Business-Projects-2023-Exem/mc92-ucqf/about_data","Year is fiscal year. Subsidy amount consists of exemptions on qualified property during the tax year. Description field shows zone name. Jobs are ""New Jobs of Firm in Zone"" (negative number indicate job reduction).","local",NA,NA,NA,"","Japan","publicly traded","motor vehicles","automobiles; aerospace & military contracting",NA,0.246505,"Motor Vehicle Manufacturing",23.839,807,3361,NA
"406",115101,"GOODYEAR TIRE AND RUBBER","Goodyear Tire & Rubber","Oklahoma","","Comanche",NA,NA,"year of exemption: 1",NA,2021,244700,"$0","$244,700","Ad Valorem Reimbursement Fund","Oklahoma Tax Commission","tax credit/rebate",NA,NA,NA,NA,0,"https://oklahoma.gov/tax/reporting-resources/reports.html?q=annualreports","Year is FY. Subsidy value is value of exemption.","state",NA,NA,NA,"Ohio","USA","publicly traded","automotive parts","automotive parts-tires",NA,0.2447,"Motor Vehicle Parts Manufacturing",NA,818,3363,NA
"407",82751,"DXC TECHNOLOGY SERVICES","DXC Technology","Oklahoma",NA,"Tulsa",NA,NA,"year of exemption: 1",NA,2022,243218,"$0","$243,218","Ad Valorem Reimbursement Fund","Oklahoma Tax Commission","tax credit/rebate",NA,NA,NA,NA,0,"https://oklahoma.gov/tax/reporting-resources/reports.html?q=annualreports","Year is FY. Subsidy value is value of exemption.","state",NA,NA,NA,"Virginia","USA","publicly traded","information technology","information technology",NA,0.243218,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",NA,1402,518,NA
"408",246029,"Semiconductor Components Industries LLC","ON Semiconductor","Oregon","Gresham","Multnomah","",NA,"",NA,2023,237154,"$0","$237,154","Enterprise Zone Program","Business Oregon","property tax abatement",-79,"",NA,27910000,12876280,"https://data.oregon.gov/Revenue-Expense/Part-A-Enterprise-Zone-Business-Projects-2023-Exem/mc92-ucqf/about_data","Year is fiscal year. Subsidy amount consists of exemptions on qualified property during the tax year. Description field shows zone name. Jobs are ""New Jobs of Firm in Zone"" (negative number indicate job reduction).","local",NA,NA,NA,"Arizona","USA","publicly traded","electrical and electronic equipment","semiconductors",NA,0.237154,"Electrical Equipment, Appliance, and Component Manufacturing",27.91,777,335,NA
"409",248101,"Siemens Energy, Inc.","Siemens Energy","North Carolina","","",NA,NA,"",NA,2023,235886,"$0","$235,886","Article 3J Tax Credits for Growing Businesses","Department of Revenue","tax credit/rebate",NA,NA,NA,NA,0,"https://www.ncdor.gov/2024-economic-incentives-report","Year is calendar year. Subsidy value is amount of credits taken during the year. See original source for breakdown by tax credit subcategory.","state",NA,NA,NA,"","Germany","publicly traded","utilities and power generation","energy generation","$0",0.235886,"Utilities",NA,173,22,NA
"410",60745,"Cameron LNG, LLC","Sempra Energy","Louisiana","Hackberry","Calcasieu","301 North Main Street","70645","Cameron LNG Partial Split","325120",2022,234341,"$0","$234,341","Industrial Tax Exemption","Commerce & Industry Board","property tax abatement",125,"","",NA,0,"https://fastlaneng.louisianaeconomicdevelopment.com/public/reports","This is a renewal deal. Year is Renewal Board Approval Date. Subsidy is the Ad Valorem (Tax Relief) - Estimated Renewal First Year Exemption multiplied by 5 (the number of subsidy renewal years). Jobs figure is Renewal - First Year of Exemption (New Jobs).  Search for associated original subsidy entry.","local",NA,NA,NA,"California","USA","publicly traded","utilities and power generation","utilities",NA,0.234341,"Utilities",NA,173,22,NA
"411",268948,"The Shyft Group / Duramag","Shyft Group","Maine","Waterville",NA,NA,NA,"",NA,2023,231548,"$0","$231,548","Employment Tax Increment Financing","Department of Economic and Community Development","tax credit/rebate",130,"78650.04946","Average Total Income",NA,0,"Direct from agency; not on web","Year is report calendar year. Jobs figure is the number of qualified employees in report year. Salary/wage data is based on the number of qualified employees.","state",NA,NA,NA,"Michigan","USA","publicly traded","motor vehicles","motor vehicles","$0",0.231548,"Motor Vehicle Manufacturing",NA,807,3361,NA
"412",272133,"Toyota Motor North America, Inc.","Toyota","Illinois","","","","","Lexus 2019 RX TV",NA,2021,230695,"$0","$230,695","Illinois Film Tax Credit","Department of Commerce and Economic Opportunity","tax credit/rebate",NA,NA,NA,NA,0,"Direct from agency; not on web","Year is year of tax credit issued for the production company. Subsidy is final tax credit to the production company. Description is Project Name. $230694.94 was transferred to Peng Zhao","state",NA,NA,NA,"","Japan","publicly traded","motor vehicles","motor vehicles",NA,0.230695,"Motor Vehicle Manufacturing",NA,807,3361,NA
"413",30117,"Astronics Advanced Electronic Systems Corp.","Astronics","Washington",NA,NA,NA,NA,NA,NA,2021,227535,"$0","$227,535","Aerospace Pre-production Expenditures B&O Tax Credit","Department of Revenue","tax credit/rebate",NA,NA,NA,NA,0,"https://secure.dor.wa.gov/gteunauth/_/#739","Subsidy value is the amount for the year.","state",NA,NA,NA,"New York","USA","publicly traded","electrical and electronic equipment","electronic equipment",NA,0.227535,"Electrical Equipment, Appliance, and Component Manufacturing",NA,777,335,NA
"414",21345,"Akamai Technologies, Inc.","Akamai Technologies","Washington",NA,NA,NA,NA,NA,NA,2022,223459,"$0","$223,459","Data Center Sales & Use Tax Exemption","Department of Revenue","Tax Credit/Rebate",NA,NA,NA,NA,0,"https://secure.dor.wa.gov/gteunauth/_/#1","Subsidy value is the amount for the year.","state",NA,NA,NA,"Massachusetts","USA","publicly traded","information technology","internet services","$0",0.223459,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",NA,1402,518,NA
"415",127396,"HUBBELL MANUFACTURING OKC, INC.","Hubbell","Oklahoma","","",NA,NA,"",NA,2024,223297,"$0","$223,297","Quality Jobs Incentive Payment","Oklahoma Tax Commission","grant",NA,"","",NA,0,"https://oktap.tax.ok.gov/OkTAP/Web/_/","Year is fiscal year. Subsidy value is cash payment during the year.","state",NA,NA,NA,"Connecticut","USA","publicly traded","electrical and electronic equipment","electrical equipment","$0",0.223297,"Electrical Equipment, Appliance, and Component Manufacturing",NA,777,335,NA
"416",115100,"GOODYEAR TIRE AND RUBBER","Goodyear Tire & Rubber","Oklahoma","","Comanche",NA,NA,"year of exemption: 4",NA,2021,219319,"$0","$219,319","Ad Valorem Reimbursement Fund","Oklahoma Tax Commission","tax credit/rebate",NA,NA,NA,NA,0,"https://oklahoma.gov/tax/reporting-resources/reports.html?q=annualreports","Year is FY. Subsidy value is value of exemption.","state",NA,NA,NA,"Ohio","USA","publicly traded","automotive parts","automotive parts-tires",NA,0.219319,"Motor Vehicle Parts Manufacturing",NA,818,3363,NA
"417",263882,"TULSA WINCH INC","Dover Corp.","Oklahoma","","",NA,NA,"",NA,2021,217198,"$0","$217,198","Oklahoma Investment/New Jobs Credit","Oklahoma Tax Commission","tax credit/rebate",NA,NA,NA,NA,0,"https://data.ok.gov/dataset/state-of-oklahoma-tax-credits","Year is FY. Subsidy is credit amount for that year. Year is when the credit was claimed by the company. Subsidy was awarded in 2018.","state",NA,NA,NA,"Illinois","USA","publicly traded","industrial equipment","industrial equipment",NA,0.217198,"Machinery Manufacturing",NA,685,333,NA
"418",127395,"HUBBELL MANUFACTURING OKC, INC.","Hubbell","Oklahoma","","",NA,NA,"",NA,2024,216440,"$0","$216,440","Quality Jobs Incentive Payment","Oklahoma Tax Commission","grant",NA,"","",NA,0,"https://oktap.tax.ok.gov/OkTAP/Web/_/","Year is fiscal year. Subsidy value is cash payment during the year.","state",NA,NA,NA,"Connecticut","USA","publicly traded","electrical and electronic equipment","electrical equipment","$0",0.21644,"Electrical Equipment, Appliance, and Component Manufacturing",NA,777,335,NA
"419",19501,"Advanced Airfoil Components, LLC","Siemens Energy","Florida","","Hillsborough","",NA,NA,NA,2023,214323,"$0","$214,323","Hillsborough County: Ad Valorem Property Tax Exemption Program","Hillsborough County","tax credit/rebate",30,NA,"",139000000,0,"https://www.hillsclerk.com/records-and-reports/financial-reports-county","Year is fiscal year. Subsidy value is amount of rebate in FY.","local",NA,NA,NA,"","Germany","publicly traded","utilities and power generation","energy generation","$0",0.214323,"Utilities",139,173,22,NA
"420",19171,"Adobe Systems Inc PP","Adobe Systems","Oregon","Hillsboro","Washington","",NA,"",NA,2023,213679,"$0","$213,679","Enterprise Zone Program","Business Oregon","property tax abatement",0,"",NA,41282000,12657063,"https://data.oregon.gov/Revenue-Expense/Part-A-Enterprise-Zone-Business-Projects-2023-Exem/mc92-ucqf/about_data","Year is fiscal year. Subsidy amount consists of exemptions on qualified property during the tax year. Description field shows zone name. Jobs are ""New Jobs of Firm in Zone"" (negative number indicate job reduction).","local",NA,NA,NA,"California","USA","publicly traded","information technology","software",NA,0.213679,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",41.282,1402,518,NA
"421",210585,"Parker Hannifin Corp.","Parker-Hannifin","Arizona","","","",NA,NA,NA,2023,213000,"$0","$213,000","Quality Jobs Tax Credit","Arizona Commerce Authority","tax credit/rebate",71,"52118","average wage",5000000,0,"https://www.azcommerce.com/media/mjxlqmeg/fy23-aca-annual-report.pdf","Year is fiscal year. Subsidy is post-approved award based on actual company outcomes. Subsidy amount in current year may reflect jobs created in prior years. Investment, jobs, and wage data are actual (no data means N/A). Check the original source for possible jobs retained.","state",NA,NA,NA,"Ohio","USA","publicly traded","industrial equipment","industrial equipment","$0",0.213,"Machinery Manufacturing",5,685,333,NA
"422",68643,"Cisco Systems Inc","Cisco Systems","Pennsylvania",NA,"",NA,NA,"",NA,2021,210000,"$0","$210,000","Research & Development Tax Credit","Department of Community & Economic Development","tax credit/rebate",NA,NA,NA,NA,0,"https://www.revenue.pa.gov/News%20and%20Statistics/ReportsStats/ResearchDevCredit/Pages/default.aspx","Year is CY. Subsidy is credit awarded in year.","state",NA,NA,NA,"California","USA","publicly traded","electrical and electronic equipment","electronic equipment",NA,0.21,"Electrical Equipment, Appliance, and Component Manufacturing",NA,777,335,NA
"423",115098,"GOODYEAR TIRE & RUBBER COMPANY","Goodyear Tire & Rubber","Oklahoma",NA,"Comanche",NA,NA,"year of exemption: 2",NA,2022,209094,"$0","$209,094","Ad Valorem Reimbursement Fund","Oklahoma Tax Commission","tax credit/rebate",NA,NA,NA,NA,0,"https://oklahoma.gov/tax/reporting-resources/reports.html?q=annualreports","Year is FY. Subsidy value is value of exemption.","state",NA,NA,NA,"Ohio","USA","publicly traded","automotive parts","automotive parts-tires",NA,0.209094,"Motor Vehicle Parts Manufacturing",NA,818,3363,NA
"424",274957,"Tyler Technologies, Inc.","Tyler Technologies","Maine","Yarmouth",NA,NA,NA,"",NA,2023,207743,"$0","$207,743","Employment Tax Increment Financing","Department of Economic and Community Development","tax credit/rebate",107,"165997.2561","Average Total Income",NA,0,"Direct from agency; not on web","Year is report calendar year. Jobs figure is the number of qualified employees in report year. Salary/wage data is based on the number of qualified employees.","state",NA,NA,NA,"Texas","USA","publicly traded","information technology","information technology","$0",0.207743,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",NA,1402,518,NA
"425",216602,"Potomac Electric Power Company","Exelon","District of Columbia","Washington",NA,"1620 2ND ST SW WASHINGTON DC 20024-3409",NA,"",NA,2022,206500,"$0","$206,500","Property Tax Abatement","Office of the Deputy Mayor for Planning and Economic Development","Tax Credit/Rebate",NA,NA,NA,NA,0,"https://cfo.dc.gov/page/unified-economic-development-reports","Year is fiscal year.","state",NA,NA,NA,"Illinois","USA","publicly traded","utilities and power generation","utilities","$0",0.2065,"Utilities",NA,173,22,NA
"426",48076,"Bridgestone Retail Operations, LLC","Bridgestone","Illinois","","","","","2021 FCAC Battery",NA,2023,206233,"$0","$206,233","Illinois Film Tax Credit","Department of Commerce and Economic Opportunity","tax credit/rebate",NA,"","",NA,0,"Direct from agency; not on web","Year is year of tax credit issued for the production company. Subsidy is final tax credit to the production company. Description is Project Name.","state",NA,NA,NA,"","Japan","publicly traded","automotive parts","automotive parts-tires","$0",0.206233,"Motor Vehicle Parts Manufacturing",NA,818,3363,NA
"427",109360,"Ford Motor Company","Ford Motor","Kentucky","","JEFFERSON","",NA,"",NA,2021,200000,"$0","$200,000","Grant-in-Aid Program","Bluegrass State Skills Corporation","training reimbursement",8500,"28.63","Estimated average hourly wage",400000,0,"https://ced.ky.gov/fireports/FISearch.aspx","Year is year of final approval. Subsidy value is maximum authorized amount. Jobs figure is estimated number of new positions. Wage figure is estimated rate. Investment figure is total project cost.","state",NA,NA,NA,"Michigan","USA","publicly traded","motor vehicles","motor vehicles",NA,0.2,"Motor Vehicle Manufacturing",0.4,807,3361,NA
"428",109368,"Ford Motor Company","Ford Motor","Kentucky","","Jefferson","",NA,"",NA,2023,200000,"$0","$200,000","Bluegrass State Skills Corporation Grant-in-Aid Program","Bluegrass State Skills Corporation","training reimbursement",50,"$29","Average Hourly Wage",306008477,0,"https://fisearch.ced.ky.gov/","Year is year of final approval. Subsidy value is maximum authorized amount. Jobs figure is estimated number of new positions. Wage figure is estimated rate. Investment figure is total project cost.","state",NA,NA,NA,"Michigan","USA","publicly traded","motor vehicles","motor vehicles",NA,0.2,"Motor Vehicle Manufacturing",306.008,807,3361,NA
